round,batch_size,total_screened,cumulative_relevant,recall,recall_improvement,total_relevant,stopped_early,stopping_reason
1,25,25,15,0.125,0.125,120,False,
2,25,50,32,0.26666666666666666,0.14166666666666666,120,False,
3,25,75,48,0.4,0.13333333333333336,120,False,
4,25,100,60,0.5,0.09999999999999998,120,False,
5,25,125,72,0.6,0.09999999999999998,120,False,
6,25,150,82,0.6833333333333333,0.08333333333333337,120,False,
7,25,175,88,0.7333333333333333,0.04999999999999993,120,False,
8,25,200,94,0.7833333333333333,0.050000000000000044,120,False,
9,25,225,99,0.825,0.04166666666666663,120,False,
10,25,250,101,0.8416666666666667,0.01666666666666672,120,False,
11,25,275,106,0.8833333333333333,0.04166666666666663,120,False,
12,25,300,108,0.9,0.01666666666666672,120,False,
13,25,325,108,0.9,0.0,120,True,diminishing_returns
1,50,50,32,0.26666666666666666,0.26666666666666666,120,False,
2,50,100,60,0.5,0.23333333333333334,120,False,
3,50,150,82,0.6833333333333333,0.18333333333333335,120,False,
4,50,200,94,0.7833333333333333,0.09999999999999998,120,False,
5,50,250,101,0.8416666666666667,0.05833333333333335,120,False,
6,50,300,108,0.9,0.05833333333333335,120,False,
7,50,350,112,0.9333333333333333,0.033333333333333326,120,False,
8,50,400,114,0.95,0.016666666666666607,120,False,target_recall_reached
1,100,100,60,0.5,0.5,120,False,
2,100,200,94,0.7833333333333333,0.2833333333333333,120,False,
3,100,300,108,0.9,0.1166666666666667,120,False,
4,100,400,114,0.95,0.04999999999999993,120,False,target_recall_reached
