feature,coefficient,abs_coefficient
keyword_score_rank_pct,0.8887620702290763,0.8887620702290763
tar_tfidf_logreg_score_rank_pct,0.7860509510872637,0.7860509510872637
tar_tfidf_logreg_score,0.7739775394458435,0.7739775394458435
specter_proposal_similarity_rank_pct,0.7476549043219992,0.7476549043219992
specter_rq_similarity_rank_pct,0.5683441382445087,0.5683441382445087
specter_score_rank_pct,0.5683441382445087,0.5683441382445087
minilm_score,0.4597061901568229,0.4597061901568229
tfidf_score_top100_flag,0.4135922438969526,0.4135922438969526
dense_score_mean,0.3674762448633729,0.3674762448633729
specter_proposal_similarity,0.3531840203902274,0.3531840203902274
tfidf_score,-0.2992544499620084,0.2992544499620084
bm25_score_top100_flag,0.281422688159529,0.281422688159529
keyword_score_top100_flag,-0.2756875705861101,0.2756875705861101
minilm_score_rank_pct,-0.22374564818886714,0.22374564818886714
specter_hybrid_score_top100_flag,0.1801247264237879,0.1801247264237879
specter_hybrid_score,0.16767965946979463,0.16767965946979463
specter_rq_similarity,0.16572884274861283,0.16572884274861283
specter_score,0.16572884274861283,0.16572884274861283
specter_rq_similarity_top100_flag,-0.1621206805709659,0.1621206805709659
specter_score_top100_flag,-0.1621206805709659,0.1621206805709659
pubmedbert_score_rank_pct,0.11385827045640208,0.11385827045640208
bm25_score_rank_pct,0.1105354532729687,0.1105354532729687
specter_proposal_similarity_top100_flag,-0.10929990023790784,0.10929990023790784
lexical_minus_dense,-0.09343508507586801,0.09343508507586801
dense_minus_lexical,0.09343508507586801,0.09343508507586801
specter_hybrid_score_rank_pct,0.08416584299355688,0.08416584299355688
score_std,-0.07892771710147967,0.07892771710147967
lexical_score_mean,-0.07861371952408878,0.07861371952408878
score_max,-0.07831470718241108,0.07831470718241108
bm25_score,-0.07831470718241108,0.07831470718241108
minilm_score_top100_flag,-0.07307445257637532,0.07307445257637532
pubmedbert_score_top100_flag,0.07119324848157875,0.07119324848157875
tfidf_score_rank_pct,-0.04856884995302583,0.04856884995302583
pubmedbert_score,-0.04656247098772428,0.04656247098772428
score_mean,-0.04253070151829875,0.04253070151829875
tar_tfidf_logreg_score_top100_flag,-0.03449091253116243,0.03449091253116243
n_methods_top100,0.019147533114097157,0.019147533114097157
keyword_score,0.01465916344630434,0.01465916344630434
