feature,clean_name,mean_abs_shap,std_shap
tar_tfidf_logreg_score,TAR TF-IDF+LogReg,0.03994924819375142,0.03042797964343018
tar_tfidf_logreg_score_rank_pct,tar_tfidf_logreg_score_rank_pct,0.038453485521452155,0.029555746757366
specter_hybrid_score_rank_pct,specter_hybrid_score_rank_pct,0.035626694808071895,0.026750523353924173
specter_proposal_similarity_rank_pct,specter_proposal_similarity_rank_pct,0.0313748146825048,0.024621731478681404
specter_rq_similarity_rank_pct,specter_rq_similarity_rank_pct,0.028771035208008933,0.023705548239832935
specter_score_rank_pct,specter_score_rank_pct,0.028284490943866127,0.022931921540925534
specter_hybrid_score,SPECTER-Hybrid,0.024607628704949324,0.014901708865073245
tar_tfidf_logreg_score_top100_flag,tar_tfidf_logreg_score_top100_flag,0.02291538687880489,0.014070850473280279
minilm_score_rank_pct,minilm_score_rank_pct,0.020122989119661216,0.016614547081169457
minilm_score,MiniLM,0.019638551333538302,0.013374306569182837
dense_score_mean,dense_score_mean,0.019073815332377855,0.012468153394350614
specter_hybrid_score_top100_flag,specter_hybrid_score_top100_flag,0.018940147800452185,0.01148498554124395
specter_rq_similarity,SPECTER-RQ,0.017411124091799582,0.013014409014161307
specter_proposal_similarity,SPECTER-Proposal,0.01628255803936012,0.012286223956077076
specter_score,SPECTER,0.015036021196608811,0.011885531428773497
pubmedbert_score_rank_pct,pubmedbert_score_rank_pct,0.01060934329965305,0.010401947396248877
keyword_score_rank_pct,keyword_score_rank_pct,0.009465937837103595,0.010102619624024013
minilm_score_top100_flag,minilm_score_top100_flag,0.008994466577997377,0.005617397032261239
tfidf_score_top100_flag,tfidf_score_top100_flag,0.00869735902668214,0.008172859591895868
keyword_score,Keyword,0.006290624094501943,0.006569459570666315
tfidf_score_rank_pct,tfidf_score_rank_pct,0.006013231173299016,0.004638625195045501
score_mean,score_mean,0.005565127457204535,0.004171218854041692
bm25_score_top100_flag,bm25_score_top100_flag,0.0055136635682920005,0.004476484618492361
bm25_score_rank_pct,bm25_score_rank_pct,0.004973862297122992,0.003737108117080418
specter_proposal_similarity_top100_flag,specter_proposal_similarity_top100_flag,0.0041824243813506036,0.0025599909441002327
bm25_score,BM25,0.004126858375384113,0.0031212231756219374
score_max,score_max,0.004109304183003183,0.0028315572578435457
pubmedbert_score,PubMedBERT,0.00400834787743877,0.003850155940392546
score_std,score_std,0.004005678146050696,0.002839782289408637
tfidf_score,TF-IDF,0.0037712351765793817,0.0029539125887750517
lexical_score_mean,lexical_score_mean,0.0027360781205361248,0.0019546826085948743
pubmedbert_score_top100_flag,pubmedbert_score_top100_flag,0.0016241104338373727,0.0024163074832781652
specter_score_top100_flag,specter_score_top100_flag,0.0013851947753485295,0.0008410658498634127
specter_rq_similarity_top100_flag,specter_rq_similarity_top100_flag,0.001240996991206109,0.0008234915580946184
keyword_score_top100_flag,keyword_score_top100_flag,0.0002739651370477103,0.0006289486960968228
