method,AP_main,Rel@100_main,Rank@90_main,AP_clef,Rel@100_clef,Rank@90_clef
TAR-Augmented ExtraTrees,0.6842,67.0,245.0,0.4603,42.85,1008.3
Learned Logistic,0.6739,61.0,225.0,,,
Learned RF,0.6409,63.0,262.0,,,
TAR TF-IDF+LogReg,0.6299,62.0,315.0,0.4601,43.85,962.35
SPECTER-hybrid,0.5455,60.0,289.0,,,
MiniLM,0.5394,55.0,392.0,0.2402,25.0,1223.65
SPECTER,0.4617,48.0,325.0,0.2283,24.55,1388.6
Learned NB,0.4561,47.0,289.0,,,
TF-IDF,0.381,52.0,1002.0,0.1756,17.7,1769.15
BM25,0.3719,49.0,970.0,0.1444,16.05,3418.7
PubMedBERT,0.22,27.0,797.0,,,
Learned ExtraTrees,,,,0.3234,32.35,1350.1
MedCPT,,,,0.1586,16.35,1900.55
