method,AP,P@100,R@100,nDCG@100,Rel@100,Rank@50%,Rank@75%,Rank@90%
TAR-Augmented ExtraTrees,0.6842,0.67,0.558,0.723,67,84,166,245
Learned Logistic,0.6739,0.61,0.508,0.6409,61,99,153,225
Learned RF,0.6409,0.63,0.525,0.6564,63,87,179,262
TAR TF-IDF+LogReg,0.6299,0.62,0.517,0.6803,62,97,175,315
SPECTER-hybrid,0.5455,0.6,0.5,0.6029,60,99,187,289
MiniLM,0.5394,0.55,0.458,0.5966,55,110,205,392
SPECTER,0.4617,0.48,0.4,0.4869,48,119,218,325
Learned NB,0.4561,0.47,0.392,0.5142,47,129,185,289
TF-IDF,0.381,0.52,0.433,0.5133,52,125,422,1002
BM25,0.3719,0.49,0.408,0.4801,49,152,410,970
PubMedBERT,0.22,0.27,0.225,0.2441,27,228,499,797
